employee_name,product_name,category,date,subtotal,tax_amount,total_amount,payment_method,discount_amount,promo_name,quantity,price_per_unit
Alice,Blueberry Donut Hole,Donut,2025-01-01 21:48:51,1.0,0.06,1.06,Cash,0.0,,1,1.0
Alice,Croissant Hot Dog,Hot Foods,2025-01-01 00:07:52,12.0,0.75,12.75,Card,0.0,,4,3.0
Alice,Chocolate,Donut,2025-01-01 00:07:52,2.0,0.12,2.12,Card,0.0,,2,1.0
Alice,Daring Donut,Donut,2025-01-01 00:07:52,1.0,0.06,1.06,Card,0.0,,1,1.0
Alice,Tropicana,Drinks,2025-01-01 00:07:52,8.0,0.5,8.5,Card,0.0,,4,2.0
Grace,Frosted Donut,Donut,2025-01-01 19:29:46,1.0,0.06,1.06,Card,0.0,,1,1.0
Grace,Frosted Donut Sprinkle,Donut,2025-01-01 19:29:46,2.0,0.12,2.12,Card,0.0,,2,1.0
Grace,Jalapeno Hot Dog,Hot Foods,2025-01-01 19:29:46,12.0,0.75,12.75,Card,0.0,,4,3.0
Alice,Tropicana,Drinks,2025-01-01 09:29:18,4.0,0.25,4.25,Card,0.0,,2,2.0
Charlie,Ham and Cheese,Hot Foods,2025-01-01 22:25:36,3.0,0.19,3.19,Cash,0.0,,1,3.0
Charlie,Daring Donut,Donut,2025-01-01 22:25:36,4.0,0.25,4.25,Cash,0.0,,4,1.0
Hannah,Coffee,Drinks,2025-01-01 20:00:57,2.0,0.12,2.12,Card,2.0,WINTER SPECIAL,2,2.0
Hannah,Strawberry,Donut,2025-01-01 20:00:57,1.0,0.06,1.06,Card,1.0,WINTER SPECIAL,2,1.0
Frank,Ham and Cheese,Hot Foods,2025-01-01 15:24:39,9.0,0.56,9.56,Card,0.0,,3,3.0
Frank,Strawberry,Donut,2025-01-01 15:24:39,4.0,0.25,4.25,Card,0.0,,4,1.0
Frank,Blueberry,Donut,2025-01-01 15:24:39,3.0,0.19,3.19,Card,0.0,,3,1.0
Frank,Biscuits,Hot Foods,2025-01-01 15:24:39,3.0,0.19,3.19,Card,0.0,,1,3.0
Frank,Strawberry,Donut,2025-01-01 15:24:39,2.0,0.12,2.12,Card,0.0,,2,1.0
Grace,Chocolate,Donut,2025-01-01 22:02:11,1.0,0.06,1.06,Card,0.0,,1,1.0
Grace,Glaze Donut Hole,Donut,2025-01-01 22:02:11,1.0,0.06,1.06,Card,0.0,,1,1.0
Grace,Boston Creme,Donut,2025-01-01 13:27:04,1.0,0.06,1.06,Card,0.0,,1,1.0
Alice,Chocolate,Donut,2025-01-01 11:15:25,1.0,0.06,1.06,Card,0.0,,1,1.0
Alice,Chocolate Donut Hole,Donut,2025-01-01 11:15:25,2.0,0.12,2.12,Card,0.0,,2,1.0
Grace,Coffee,Drinks,2025-01-01 04:22:57,8.0,0.5,8.5,Cash,0.0,,4,2.0
Grace,Small Hot Dog,Hot Foods,2025-01-01 04:22:57,9.0,0.56,9.56,Cash,0.0,,3,3.0
Frank,Blueberry Donut Hole,Donut,2025-01-01 09:57:18,1.0,0.06,1.06,Card,0.0,,1,1.0
Frank,Sprite,Drinks,2025-01-01 09:57:18,8.0,0.5,8.5,Card,0.0,,4,2.0
Grace,Tropicana,Drinks,2025-01-01 15:23:15,6.0,0.38,6.38,Card,0.0,,3,2.0
Grace,Jalapeno Hot Dog,Hot Foods,2025-01-01 15:23:15,12.0,0.75,12.75,Card,0.0,,4,3.0
Alice,Biscuits,Hot Foods,2025-01-01 23:11:49,9.0,0.56,9.56,Card,0.0,,3,3.0
Alice,Starbucks Mocha,Drinks,2025-01-01 23:11:49,6.0,0.38,6.38,Card,0.0,,3,2.0
Alice,Sprite,Drinks,2025-01-01 23:11:49,2.0,0.12,2.12,Card,0.0,,1,2.0
Frank,Sprite,Drinks,2025-01-01 11:02:00,1.0,0.06,1.06,Card,1.0,WINTER SPECIAL,1,2.0
Hannah,Glaze Donut Hole,Donut,2025-01-01 12:11:30,3.0,0.19,3.19,Card,0.0,,3,1.0
Hannah,Coffee,Drinks,2025-01-01 12:11:30,2.0,0.12,2.12,Card,0.0,,1,2.0
Alice,Blueberry Donut Hole,Donut,2025-01-01 07:28:25,1.0,0.06,1.06,Card,0.0,,1,1.0
Alice,Redbull,Drinks,2025-01-01 07:28:25,6.0,0.38,6.38,Card,0.0,,3,2.0
Frank,Chocolate Sprinkle,Donut,2025-01-01 03:57:52,4.0,0.25,4.25,Card,0.0,,4,1.0
Frank,Small Hot Dog,Hot Foods,2025-01-01 03:57:52,3.0,0.19,3.19,Card,0.0,,1,3.0
Charlie,Blueberry Donut Hole,Donut,2025-01-01 20:56:35,3.0,0.19,3.19,Card,0.0,,3,1.0
Charlie,Tropicana,Drinks,2025-01-01 20:56:35,2.0,0.12,2.12,Card,0.0,,1,2.0
Bob,Daring Donut,Donut,2025-01-01 02:47:35,3.0,0.19,3.19,Card,0.0,,3,1.0
Bob,Croissant Hot Dog,Hot Foods,2025-01-01 02:47:35,6.0,0.38,6.38,Card,0.0,,2,3.0
Bob,Small Hot Dog,Hot Foods,2025-01-01 04:11:48,3.0,0.19,3.19,Card,3.0,BOGO,2,3.0
Bob,Small Hot Dog,Hot Foods,2025-01-01 04:11:48,3.0,0.19,3.19,Card,0.0,BOGO,1,3.0
Bob,Blueberry Donut Hole,Donut,2025-01-01 04:11:48,1.0,0.06,1.06,Card,0.0,BOGO,1,1.0
Bob,Coke,Drinks,2025-01-01 04:11:48,4.0,0.25,4.25,Card,0.0,BOGO,2,2.0
Bob,Tropicana,Drinks,2025-01-01 04:11:48,8.0,0.5,8.5,Card,0.0,BOGO,4,2.0
Hannah,Starbucks Mocha,Drinks,2025-01-01 15:24:21,8.0,0.5,8.5,Cash,0.0,,4,2.0
Hannah,Daring Donut,Donut,2025-01-01 15:24:21,1.0,0.06,1.06,Cash,0.0,,1,1.0
Hannah,Chocolate Sprinkle,Donut,2025-01-01 15:24:21,1.0,0.06,1.06,Cash,0.0,,1,1.0
Hannah,Frosted Donut Sprinkle,Donut,2025-01-01 15:24:21,3.0,0.19,3.19,Cash,0.0,,3,1.0
Hannah,Donut Odyssey,Donut,2025-01-01 15:24:21,4.0,0.25,4.25,Cash,0.0,,4,1.0
Charlie,Strawberry,Donut,2025-01-01 08:06:27,1.0,0.06,1.06,Card,0.0,,1,1.0
Charlie,Chocolate Sprinkle,Donut,2025-01-01 08:06:27,1.0,0.06,1.06,Card,0.0,,1,1.0
Charlie,Chocolate,Donut,2025-01-01 08:06:27,3.0,0.19,3.19,Card,0.0,,3,1.0
Charlie,Glaze Donut Hole,Donut,2025-01-01 08:06:27,4.0,0.25,4.25,Card,0.0,,4,1.0
Grace,Starbucks Caramel,Drinks,2025-01-01 19:58:20,6.0,0.38,6.38,Cash,0.0,,3,2.0
Grace,Jalapeno Hot Dog,Hot Foods,2025-01-01 19:58:20,3.0,0.19,3.19,Cash,0.0,,1,3.0
Grace,Coffee,Drinks,2025-01-01 19:58:20,2.0,0.12,2.12,Cash,0.0,,1,2.0
Grace,Coffee,Drinks,2025-01-01 19:58:20,4.0,0.25,4.25,Cash,0.0,,2,2.0
Alice,Blueberry,Donut,2025-01-01 06:13:30,3.0,0.19,3.19,Card,0.0,,3,1.0
Alice,Sprite,Drinks,2025-01-01 06:13:30,6.0,0.38,6.38,Card,0.0,,3,2.0
Grace,Coke,Drinks,2025-01-01 17:46:11,2.0,0.12,2.12,Card,0.0,,1,2.0
Frank,Glaze,Donut,2025-01-01 05:06:45,3.0,0.19,3.19,Card,0.0,,3,1.0
Frank,Croissant Hot Dog,Hot Foods,2025-01-01 05:06:45,6.0,0.38,6.38,Card,0.0,,2,3.0
Frank,Coke,Drinks,2025-01-01 05:06:45,4.0,0.25,4.25,Card,0.0,,2,2.0
Frank,Donut Odyssey,Donut,2025-01-01 05:06:45,1.0,0.06,1.06,Card,0.0,,1,1.0
Frank,Tropicana,Drinks,2025-01-01 05:06:45,2.0,0.12,2.12,Card,0.0,,1,2.0
Grace,Starbucks Mocha,Drinks,2025-01-01 04:37:18,6.0,0.38,6.38,Card,0.0,,3,2.0
Grace,Boston Creme,Donut,2025-01-01 04:37:18,3.0,0.19,3.19,Card,0.0,,3,1.0
Grace,Croissant Hot Dog,Hot Foods,2025-01-01 04:37:18,3.0,0.19,3.19,Card,0.0,,1,3.0
Grace,Starbucks Caramel,Drinks,2025-01-01 04:37:18,2.0,0.12,2.12,Card,0.0,,1,2.0
Grace,Boston Creme,Donut,2025-01-01 04:37:18,4.0,0.25,4.25,Card,0.0,,4,1.0
Grace,Frosted Donut Sprinkle,Donut,2025-01-01 03:05:59,3.0,0.19,3.19,Card,0.0,,3,1.0
Grace,Starbucks Caramel,Drinks,2025-01-01 03:05:59,4.0,0.25,4.25,Card,0.0,,2,2.0
Grace,Jalapeno Hot Dog,Hot Foods,2025-01-01 03:05:59,6.0,0.38,6.38,Card,0.0,,2,3.0
Grace,Starbucks Caramel,Drinks,2025-01-01 18:38:02,4.0,0.25,4.25,Card,0.0,,2,2.0
Grace,Frosted Donut Sprinkle,Donut,2025-01-01 18:38:02,4.0,0.25,4.25,Card,0.0,,4,1.0
Grace,Small Hot Dog,Hot Foods,2025-01-01 18:38:02,12.0,0.75,12.75,Card,0.0,,4,3.0
Grace,Jalapeno Hot Dog,Hot Foods,2025-01-01 18:38:02,12.0,0.75,12.75,Card,0.0,,4,3.0
Grace,Redbull,Drinks,2025-01-01 18:38:02,2.0,0.12,2.12,Card,0.0,,1,2.0
Hannah,Blueberry Donut Hole,Donut,2025-01-01 08:38:00,3.0,0.19,3.19,Card,0.0,,3,1.0
Hannah,Frosted Donut Sprinkle,Donut,2025-01-01 08:38:00,4.0,0.25,4.25,Card,0.0,,4,1.0
Hannah,Chocolate Sprinkle,Donut,2025-01-01 08:38:00,1.0,0.06,1.06,Card,0.0,,1,1.0
Hannah,Biscuits,Hot Foods,2025-01-01 23:32:37,6.0,0.38,6.38,Cash,6.0,WINTER SPECIAL,4,3.0
Hannah,Ham and Cheese,Hot Foods,2025-01-01 23:32:37,1.5,0.09,1.59,Cash,1.5,WINTER SPECIAL,1,3.0
Hannah,Jalapeno Hot Dog,Hot Foods,2025-01-01 23:32:37,1.5,0.09,1.59,Cash,1.5,WINTER SPECIAL,1,3.0
Hannah,Diet Coke,Drinks,2025-01-01 23:32:37,3.0,0.19,3.19,Cash,3.0,WINTER SPECIAL,3,2.0
Hannah,Chocolate,Donut,2025-01-01 23:32:37,0.5,0.03,0.53,Cash,0.5,WINTER SPECIAL,1,1.0
Alice,Tropicana,Drinks,2025-01-01 15:53:20,3.0,0.19,3.19,Cash,3.0,WINTER SPECIAL,3,2.0
Alice,Glaze,Donut,2025-01-01 15:53:20,2.0,0.12,2.12,Cash,2.0,WINTER SPECIAL,4,1.0
